Date,Location / Operator,Manufacturer 1,Aircraft Type 1,Manufacturer 2,Aircraft Type 2,Occupants,Occupant Fatalities,Ground Fatalities
10-Mar-20,"New Paris, Indiana US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
30-Mar-20,"Newark, New Jersey US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
10-Apr-20,"Newark, New Jersey US Aerial Mail Service",curtiss,curtiss r-4lm,,,2,1,0
11-Apr-20,"Heller Field, New Jersey US Aerial Mail Service",curtiss,curtiss jn-4h,,,2,1,0
12-May-20,"Oskaloosa, Iowa US Aerial Mail Service",de havilland,de havilland dh-4,,,2,1,0
6-Jun-20,"Cleveland, Ohio US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
20-Jul-20,"Cartagena, Columbia Compañia Colombiana de Navegación Aérea",farman,farman f-40,,,1,1,0
16-Aug-20,"Bedford, England By Air",armstrong-withworth,armstrong-whitworth f-k-8,,,1,1,0
16-Aug-20,"College Park, Maryland US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
1-Sep-20,"Morristown, New Jersey US Aerial Mail Service",junkers,junkers jl-6,,,2,2,0
15-Sep-20,"Pemberville, Ohio US Aerial Mail Service",junkers,junkers f-13,,,2,2,0
27-Sep-20,"Hillersburg, Pennsylvania US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
2-Oct-20,"Off Port Vendres, France Latecoere Airlines",salmson,salmson 2-a-2,,,2,2,0
5-Oct-20,"Valencia, Spain Latecoere Airlines",breguet,breguet 14,,,2,2,0
15-Oct-20,"Batavia, Illinois US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
7-Nov-20,"Tie Siding, Wyoming US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
14-Dec-20,"London, England Handley Page Transport",handley page,handley page hp-16,,,8,4,0
24-Dec-20,"Barcelona, Spain Aeropostale",breguet,breguet 14,,,1,1,0
3-Feb-21,"Mendotta, Minnisota US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
9-Feb-21,"La Crosse, Wisconsin US Aerial Mail Service",junkers,junkers f-13,,,3,3,0
15-Feb-21,Off Gibraltar Aeropostale,breguet,breguet 14,,,2,2,0
22-Feb-21,"Elko, Nevada US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
6-Apr-21,"Point Cook, Australia Military - Royal Australian Air Force",avro,avro 504,,,2,2,0
21-Apr-21,"Mitchel Field, NY US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
29-Apr-21,"Cleveland, Ohio US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
17-May-21,"Rock Springs, Wyoming US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
14-Aug-21,"Toulouse, France Aeropostale",breguet,breguet 14,,,2,2,0
24-Aug-21,"River Humber, England Military - Royal Airship Works",royal airship works,royal airship works zr-2 (airship),,,49,43,1
6-Sep-21,"Paris, France Franco-Roumaine",potez,potez ix,,,5,5,0
5-Dec-21,"Near Murchinson River, Australia West Australian Airways",bristol,bristol 28 tourer,,,2,2,0
14-Jan-22,"Paris, France Handley Page Transport",handley page,handley page o/10,,,5,5,5
21-Feb-22,"Near Norfolk, Virginia Military - U.S. Army Air Service",dirigible,dirigible roma (airship),,,45,34,0
22-Mar-22,North Atlantic Ocean Aero Limited,aeromarine,aeromarine model 85 (flying boat),,,6,5,0
7-Apr-22,"Grandvilliers, France Daimler Airways / Grands Express Aeriens",de havilland,de havilland dh-18,farman,farman f-60 goliath,7,7,0
8-Apr-22,"Pao Ting Fou, China ?",,?,,,17,17,0
3-Jun-22,"Off Folkestone, Kent, England Cie des Messageries Aeriennes",blériot,blériot spad 27,,,3,3,0
4-Jul-22,"Fuhlsbuttel, Germany ?",lvg,lvg c vi,,,3,2,0
16-Jul-22,"Near Saverne, Lorraine, France Compagnie Franco-Roumaine de Navigaation Aerienne",potez,potez 29,,,5,5,0
26-Jul-22,"Cadix, Spain Grands Express Aeriens",breguet,breguet 14,,,3,3,0
7-Sep-22,"Indianapolis, Indiana US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
2-Oct-22,"Venice, Italy de Havilland Air Service",de havilland,de havilland dh-9,,,4,4,0
25-Oct-22,"Larache, Morocco Grands Express Aeriens",breguet,breguet 14,,,2,2,0
3-Dec-22,"Fez, Morocco Grands Express Aeriens",breguet,breguet 14,,,1,1,0
10-Jan-23,"Ajaccio, France Amee de l'Air",lioré-et-olivier,lioré-et-olivier h-13,,,4,3,0
17-Jan-23,"Barcelona, Spain Grands Express Aeriens",breguet,breguet 14,,,1,1,0
18-Jan-23,"Cheyenne, Wyoming US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
26-Feb-23,"Meadville, Pennsylvania US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
14-May-23,"Near Amiens, Picrdie, France Grands Express Aeriens (Air Union)",farman,farman f-60 goliath,,,6,6,0
27-Aug-23,"East Mallling, United Kingdom Air Union",farman,farman f.60 goliath,,,11,1,0
27-Aug-23,"Bucharest, Romania Campagnie France Roumaine",blériot,blériot spad 46,,,2,2,0
7-Sep-23,"Colton, Ohio US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
14-Sep-23,"Near Ivinghoe, Buckinghamshire, England Daimler Airways",de havilland,de havilland dh-34,,,5,5,0
18-Nov-23,Russia CCCP,junkers,junkers f-13,,,5,3,0
6-Dec-23,"Castalia, Ohio US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
23-Dec-23,Over the Mediterranean Sea Military - French Navy,zeppelin,zeppelin dixmunde (airship),,,52,52,0
24-Dec-23,"Egbert, WY US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
7-Mar-24,"Grampian, Pennsylvania US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
24-Apr-24,Over the English Channel KLM Royal Dutch Airlines,fokker,fokker f.iii,,,3,3,0
8-Jun-24,"Barranquilla, Colombia SCADTA",junkers,junkers f-13,,,5,5,0
1-Aug-24,United States US Aerial Mail Service,de havilland,de havilland dh-4,,,1,1,0
6-Nov-24,"Cabrerolles, France Grands Express Aeriens",breguet,breguet 14,,,1,1,0
